x y depth yinc xinc strike dip rake slip Sample
96.4021 18.8269 15.1554 5 5 353 60 142 1.1594 2
96.4260 18.8296 19.4856 5 5 353 60 145 0.9928 2
96.4500 18.8323 23.8157 5 5 353 60 149 0.8950 2
96.4739 18.8350 28.1458 5 5 353 60 153 0.7539 2
96.4979 18.8377 32.4760 5 5 353 60 157 0.4661 2
96.3245 18.8633 2.1651 5 5 353 60 140 1.6982 2
96.3484 18.8660 6.4952 5 5 353 60 140 1.5913 2
96.3724 18.8688 10.8253 5 5 353 60 141 1.3563 2
96.3964 18.8715 15.1554 5 5 353 60 141 1.1218 2
96.4203 18.8742 19.4856 5 5 353 60 144 0.9778 2
96.4443 18.8769 23.8157 5 5 353 60 148 0.8912 2
96.4682 18.8797 28.1458 5 5 353 60 152 0.7533 2
96.4922 18.8824 32.4760 5 5 353 60 157 0.4673 2
96.3188 18.9079 2.1651 5 5 353 60 139 1.6365 2
96.3427 18.9107 6.4952 5 5 353 60 139 1.5194 2
96.3667 18.9134 10.8253 5 5 353 60 141 1.2922 2
96.3907 18.9161 15.1554 5 5 353 60 142 1.0853 2
96.4146 18.9189 19.4856 5 5 353 60 145 0.9686 2
96.4386 18.9216 23.8157 5 5 353 60 148 0.8869 2
96.4625 18.9243 28.1458 5 5 353 60 152 0.7520 2
96.4865 18.9270 32.4760 5 5 353 60 157 0.4714 2
96.3131 18.9526 2.1651 5 5 353 60 140 1.5601 2
96.3370 18.9553 6.4952 5 5 353 60 141 1.4369 2
96.3610 18.9580 10.8253 5 5 353 60 144 1.2243 2
96.3850 18.9608 15.1554 5 5 353 60 146 1.0374 2
96.4089 18.9635 19.4856 5 5 353 60 148 0.9288 2
96.4329 18.9662 23.8157 5 5 353 60 150 0.8460 2
96.4568 18.9689 28.1458 5 5 353 60 153 0.7219 2
96.4808 18.9717 32.4760 5 5 353 60 158 0.4621 2
96.3074 18.9972 2.1651 5 5 353 60 141 1.4808 2
96.3313 19.0000 6.4952 5 5 353 60 144 1.3592 2
96.3553 19.0027 10.8253 5 5 353 60 150 1.1547 2
96.3792 19.0054 15.1554 5 5 353 60 152 0.9747 2
96.4032 19.0081 19.4856 5 5 353 60 150 0.8630 2
96.4272 19.0109 23.8157 5 5 353 60 150 0.7827 2
96.4511 19.0136 28.1458 5 5 353 60 153 0.6716 2
96.4751 19.0163 32.4760 5 5 353 60 157 0.4322 2
96.3017 19.0419 2.1651 5 5 353 60 141 1.4298 2
96.3256 19.0446 6.4952 5 5 353 60 145 1.2993 2
96.3496 19.0473 10.8253 5 5 353 60 153 1.0949 2
96.3735 19.0501 15.1554 5 5 353 60 156 0.9150 2
96.3975 19.0528 19.4856 5 5 353 60 153 0.8010 2
96.4214 19.0555 23.8157 5 5 353 60 149 0.7234 2
96.4454 19.0582 28.1458 5 5 353 60 149 0.6164 2
96.4694 19.0609 32.4760 5 5 353 60 153 0.3899 2
96.2959 19.0865 2.1651 5 5 353 60 144 1.4279 2
96.3199 19.0892 6.4952 5 5 353 60 146 1.2922 2
96.3439 19.0920 10.8253 5 5 353 60 153 1.0726 2
96.3678 19.0947 15.1554 5 5 353 60 157 0.8837 2
96.3918 19.0974 19.4856 5 5 353 60 154 0.7625 2
96.4157 19.1001 23.8157 5 5 353 60 148 0.6903 2
96.4397 19.1029 28.1458 5 5 353 60 147 0.5903 2
96.4637 19.1056 32.4760 5 5 353 60 150 0.3706 2
96.2902 19.1311 2.1651 5 5 353 60 150 1.4654 2
96.3142 19.1339 6.4952 5 5 353 60 150 1.3344 2
96.3381 19.1366 10.8253 5 5 353 60 154 1.1019 2
96.3621 19.1393 15.1554 5 5 353 60 157 0.8962 2
96.3861 19.1421 19.4856 5 5 353 60 155 0.7608 2
96.4100 19.1448 23.8157 5 5 353 60 149 0.6884 2
96.4340 19.1475 28.1458 5 5 353 60 146 0.6003 2
96.4579 19.1502 32.4760 5 5 353 60 148 0.3812 2
96.2845 19.1758 2.1651 5 5 353 60 159 1.5217 2
96.3085 19.1785 6.4952 5 5 353 60 159 1.3953 2
96.3324 19.1813 10.8253 5 5 353 60 160 1.1690 2
96.3564 19.1840 15.1554 5 5 353 60 161 0.9513 2
96.3803 19.1867 19.4856 5 5 353 60 158 0.7988 2
96.4043 19.1894 23.8157 5 5 353 60 152 0.7129 2
96.4283 19.1921 28.1458 5 5 353 60 148 0.6218 2
96.4522 19.1949 32.4760 5 5 353 60 147 0.3981 2
96.2788 19.2204 2.1651 5 5 353 60 168 1.5630 2
96.3027 19.2232 6.4952 5 5 353 60 168 1.4481 2
96.3267 19.2259 10.8253 5 5 353 60 168 1.2389 2
96.3506 19.2286 15.1554 5 5 353 60 167 1.0206 2
96.3746 19.2313 19.4856 5 5 353 60 164 0.8499 2
96.3986 19.2341 23.8157 5 5 353 60 159 0.7425 2
96.4225 19.2368 28.1458 5 5 353 60 154 0.6312 2
96.4465 19.2395 32.4760 5 5 353 60 153 0.3985 2
96.2731 19.2651 2.1651 5 5 353 60 174 1.5564 2
